timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741616259935,1116,Add User,201,Created,Stress Test 1-262,text,true,,1278,336,3,3,https://thinking-tester-contact-list.herokuapp.com/users,1116,0,804
1741616261052,296,Get User Profile,200,OK,Stress Test 1-262,text,true,,874,525,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,296,0,0
1741616261050,298,Delete Contact,200,OK,Stress Test 1-260,text,true,,756,603,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48832eaf700137a509c,298,0,0
1741616261052,296,Add User,201,Created,Stress Test 1-261,text,true,,1278,501,3,3,https://thinking-tester-contact-list.herokuapp.com/users,296,0,0
1741616261349,250,Get User Profile,200,OK,Stress Test 1-261,text,true,,874,525,2,2,https://thinking-tester-contact-list.herokuapp.com/users/me,250,0,0
1741616261349,256,Update User,200,OK,Stress Test 1-262,text,true,,881,632,2,2,https://thinking-tester-contact-list.herokuapp.com/users/me,256,0,0
1741616261599,321,Update User,200,OK,Stress Test 1-261,text,true,,877,632,2,2,https://thinking-tester-contact-list.herokuapp.com/users/me,321,0,0
1741616261605,316,Add Contact,201,Created,Stress Test 1-262,text,true,,1011,816,2,2,https://thinking-tester-contact-list.herokuapp.com/contacts,316,0,0
1741616261922,358,Get Contacts,200,OK,Stress Test 1-262,text,true,,1008,525,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,358,0,0
1741616262280,371,Update Contact,200,OK,Stress Test 1-262,text,true,,1039,843,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48a53c0aa001392fd13,371,0,0
1741616261921,766,Add Contact,201,Created,Stress Test 1-261,text,true,,1001,807,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,766,0,0
1741616262651,258,Patch Contact,200,OK,Stress Test 1-262,text,true,,1009,602,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48a53c0aa001392fd13,258,0,0
1741616262687,250,Get Contacts,200,OK,Stress Test 1-261,text,true,,998,525,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,250,0,0
1741616262909,254,Delete Contact,200,OK,Stress Test 1-262,text,true,,752,603,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48a53c0aa001392fd13,254,0,0
1741616262938,261,Update Contact,200,OK,Stress Test 1-261,text,true,,1030,834,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48a53c0aa001392fd14,261,0,0
1741616263164,289,Add User,201,Created,Stress Test 1-262,text,true,,1274,501,3,3,https://thinking-tester-contact-list.herokuapp.com/users,289,0,0
1741616263199,258,Patch Contact,200,OK,Stress Test 1-261,text,true,,999,602,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48a53c0aa001392fd14,258,0,0
1741616263454,247,Get User Profile,200,OK,Stress Test 1-262,text,true,,874,525,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,247,0,0
1741616263458,260,Delete Contact,200,OK,Stress Test 1-261,text,true,,756,603,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48a53c0aa001392fd14,260,0,0
1741616263701,253,Update User,200,OK,Stress Test 1-262,text,true,,884,635,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,253,0,0
1741616263954,255,Add Contact,201,Created,Stress Test 1-262,text,true,,1008,813,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,255,0,0
1741616264210,363,Get Contacts,200,OK,Stress Test 1-262,text,true,,1005,525,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,363,0,0
1741616264573,370,Update Contact,200,OK,Stress Test 1-262,text,true,,1034,837,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48c32eaf700137a509f,370,0,0
1741616261940,3003,Add User,201,Created,Stress Test 1-263,text,true,,1278,336,3,3,https://thinking-tester-contact-list.herokuapp.com/users,3003,0,2466
1741616264943,584,Patch Contact,200,OK,Stress Test 1-262,text,true,,1003,602,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48c32eaf700137a509f,584,0,0
1741616264943,584,Get User Profile,200,OK,Stress Test 1-263,text,true,,874,525,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,584,0,0
1741616263932,1595,Add User,201,Created,Stress Test 1-264,text,true,,1278,336,3,3,https://thinking-tester-contact-list.herokuapp.com/users,1595,0,1011
1741616265528,305,Get User Profile,200,OK,Stress Test 1-264,text,true,,870,525,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,305,0,0
1741616265527,305,Delete Contact,200,OK,Stress Test 1-262,text,true,,752,603,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48c32eaf700137a509f,305,0,0
1741616265527,305,Update User,200,OK,Stress Test 1-263,text,true,,878,633,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,305,0,0
1741616265866,426,Update User,200,OK,Stress Test 1-264,text,true,,877,632,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,426,0,0
